Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HouseAge
1,1360,5,4,3,1970,Downtown,Excellent,No,149919,56
2,4272,5,4,3,1958,Downtown,Excellent,No,424998,68
3,3592,2,2,3,1938,Downtown,Good,No,266746,88
4,966,4,2,2,1902,Suburban,Fair,Yes,244020,124
5,4926,1,4,2,1975,Downtown,Fair,Yes,636056,51
6,3944,1,2,1,1906,Urban,Poor,No,93262,120
7,3671,1,1,2,1948,Rural,Poor,Yes,448722,78
8,3419,2,4,1,1925,Suburban,Good,Yes,594893,101
9,630,2,2,1,1932,Rural,Poor,Yes,652878,94
10,2185,3,3,1,2000,Downtown,Poor,No,340375,26
11,1269,1,4,2,1947,Suburban,Poor,Yes,653685,79
12,2891,4,4,3,1978,Urban,Excellent,Yes,127123,48
13,2933,4,3,2,1901,Downtown,Poor,No,849947,125
14,1684,1,1,1,2004,Rural,Good,No,399355,22
15,3885,1,3,1,1970,Urban,Fair,Yes,481838,56
16,4617,1,4,2,1931,Downtown,Poor,No,853032,95
17,3404,2,1,1,1903,Urban,Fair,Yes,208964,123
18,974,2,2,1,1919,Downtown,Poor,Yes,905742,107
19,1582,2,2,2,2013,Suburban,Good,No,989305,13
20,3058,5,2,2,2016,Downtown,Excellent,No,218767,10
21,2547,4,4,2,1935,Suburban,Good,Yes,996357,91
22,3247,4,3,1,1931,Downtown,Excellent,No,709789,95
23,1475,3,1,1,1927,Downtown,Poor,No,709966,99
24,2306,2,2,3,1976,Rural,Poor,Yes,447694,50
25,689,5,1,3,1900,Urban,Excellent,Yes,688668,126
26,3234,5,4,2,1959,Urban,Good,Yes,527032,67
27,3505,4,2,3,1955,Urban,Good,Yes,745494,71
28,2399,2,4,1,1934,Downtown,Excellent,Yes,513179,92
29,1767,3,3,3,2011,Downtown,Poor,Yes,948212,15
30,2028,2,4,1,1929,Downtown,Excellent,No,206547,97
31,3702,1,4,2,1953,Suburban,Poor,No,902609,73
32,4056,2,3,2,1935,Suburban,Excellent,Yes,727090,91
33,4390,1,1,1,2020,Rural,Poor,No,202185,6
34,1146,1,3,3,1954,Downtown,Excellent,No,725371,72
35,3388,3,3,2,1988,Urban,Fair,Yes,105746,38
36,2935,4,4,2,1979,Urban,Poor,No,959507,47
37,1100,2,1,3,1957,Rural,Good,No,748213,69
38,2863,1,2,3,1982,Urban,Excellent,Yes,921627,44
39,2561,2,3,1,1964,Rural,Good,No,873250,62
40,741,4,1,3,1968,Downtown,Excellent,No,218393,58
41,2541,4,3,3,1950,Urban,Good,Yes,333453,76
42,3324,5,3,3,1921,Downtown,Good,No,986192,105
43,3112,4,3,1,1987,Suburban,Excellent,No,340320,39
44,1863,3,3,1,2006,Urban,Excellent,No,643167,20
45,1978,1,4,2,2008,Suburban,Good,Yes,641880,18
46,3056,5,1,1,2015,Urban,Good,Yes,396872,11
47,1275,3,1,2,2000,Downtown,Good,No,270084,26
48,4514,2,1,3,1952,Rural,Poor,No,976920,74
49,534,1,3,2,1999,Downtown,Poor,Yes,771782,27
50,3652,4,4,2,1935,Downtown,Fair,Yes,845016,91
51,2455,1,3,3,1967,Downtown,Poor,No,698843,59
52,2085,2,3,2,1935,Urban,Poor,Yes,405446,91
53,4443,5,1,1,1951,Rural,Excellent,No,958840,75
54,3573,5,3,1,1952,Suburban,Fair,No,593118,74
55,1521,5,2,1,1981,Downtown,Fair,Yes,266897,45
56,3961,4,3,1,1949,Urban,Poor,Yes,826522,77
57,3113,3,2,2,1979,Suburban,Excellent,No,913498,47
58,4343,3,3,2,1940,Downtown,Excellent,No,840023,86
59,2000,1,4,3,1917,Suburban,Fair,Yes,143878,109
60,661,4,4,2,1921,Downtown,Excellent,No,175407,105
61,4797,5,1,2,1965,Suburban,Good,Yes,691157,61
62,2481,5,3,2,1920,Suburban,Poor,Yes,307716,106
63,1495,2,2,3,1999,Rural,Good,Yes,857827,27
64,3842,2,2,1,1943,Rural,Fair,Yes,66738,83
65,4298,5,3,2,2002,Downtown,Fair,Yes,183703,24
66,1775,5,2,3,1946,Urban,Excellent,No,723265,80
67,1516,4,4,3,1938,Rural,Excellent,Yes,593344,88
68,837,3,2,3,1928,Suburban,Fair,Yes,815034,98
69,1378,2,1,1,1953,Rural,Fair,Yes,560241,73
70,1576,3,4,2,1989,Rural,Good,Yes,433800,37
71,4493,4,4,3,1984,Downtown,Good,Yes,689604,42
72,879,5,4,1,1916,Rural,Excellent,Yes,740807,110
73,992,3,3,3,1979,Rural,Good,Yes,628706,47
74,2562,5,3,3,1959,Suburban,Excellent,No,873622,67
75,4384,5,4,3,1930,Rural,Excellent,No,76014,96
76,564,1,3,3,2014,Suburban,Poor,No,778359,12
77,3068,3,2,3,1972,Rural,Excellent,No,813277,54
78,2527,3,3,1,1994,Rural,Good,Yes,231350,32
79,3195,5,3,2,1977,Urban,Fair,No,961995,49
80,1995,4,4,2,1948,Rural,Fair,Yes,838212,78
81,891,1,1,2,2000,Suburban,Good,No,534859,26
82,4974,5,1,2,1901,Suburban,Fair,No,764618,125
83,4061,2,1,1,2015,Downtown,Excellent,Yes,540339,11
84,2778,2,2,1,1947,Downtown,Fair,Yes,92192,79
85,3599,1,3,1,2009,Urban,Good,No,941307,17
86,700,4,1,3,1913,Suburban,Fair,No,411273,113
87,3604,5,4,3,1958,Suburban,Excellent,No,93923,68
88,2954,3,1,3,1996,Suburban,Excellent,No,663484,30
89,4145,1,1,2,1998,Urban,Good,Yes,576683,28
90,1304,4,3,3,1957,Suburban,Good,No,414593,69
91,3231,3,3,2,2002,Downtown,Good,No,433891,24
92,3273,2,3,3,1957,Urban,Poor,No,802744,69
93,2070,2,2,2,2010,Downtown,Poor,No,458995,16
94,3190,3,2,3,1950,Downtown,Excellent,No,645316,76
95,4340,1,1,3,1983,Urban,Poor,Yes,997226,43
96,1528,2,3,1,1901,Rural,Poor,Yes,450327,125
97,1002,5,1,3,2014,Rural,Fair,Yes,816751,12
98,4993,3,4,3,1940,Downtown,Poor,Yes,715344,86
99,1370,3,4,1,1982,Rural,Fair,Yes,929608,44
100,4988,2,3,2,2022,Suburban,Good,No,777688,4
101,706,1,3,1,2000,Urban,Fair,Yes,305315,26
102,1984,5,4,1,1981,Downtown,Fair,Yes,339068,45
103,1363,1,3,2,1915,Suburban,Good,No,495919,111
104,3290,4,2,3,1903,Rural,Good,Yes,344721,123
105,1063,4,2,2,1911,Suburban,Excellent,Yes,188783,115
106,4691,2,3,3,1928,Rural,Excellent,Yes,659836,98
107,2257,2,4,3,1906,Downtown,Excellent,Yes,307288,120
108,2178,2,1,2,1913,Suburban,Excellent,No,543085,113
109,3742,4,3,1,2018,Urban,Fair,No,545187,8
110,1559,1,3,2,1911,Downtown,Fair,Yes,699381,115
111,2222,1,1,3,1998,Suburban,Excellent,No,285835,28
112,3814,2,3,2,1904,Suburban,Poor,Yes,971600,122
113,3657,5,1,2,1980,Rural,Excellent,No,902987,46
114,3125,1,4,3,2021,Downtown,Poor,No,401992,5
115,3229,4,2,1,2005,Downtown,Good,No,256084,21
116,2097,3,4,2,1931,Downtown,Fair,No,844686,95
117,3560,3,2,3,1973,Downtown,Fair,No,437554,53
118,3193,3,1,3,1942,Rural,Poor,No,803315,84
119,4127,5,2,2,1980,Urban,Excellent,No,520336,46
120,1863,2,4,1,1968,Downtown,Fair,No,973469,58
121,2481,4,2,2,1944,Rural,Poor,No,258072,82
122,2163,5,1,1,2005,Urban,Good,No,298029,21
123,2029,4,2,1,1908,Urban,Good,No,259047,118
124,2538,4,3,1,1948,Rural,Fair,Yes,415169,78
125,3802,2,4,1,1932,Downtown,Excellent,No,180509,94
126,2737,3,3,2,1999,Urban,Poor,Yes,812072,27
127,1806,2,1,3,1999,Downtown,Fair,No,345107,27
128,4529,5,2,3,1917,Downtown,Good,Yes,577561,109
129,3175,5,3,3,1908,Suburban,Excellent,Yes,589618,118
130,1782,5,3,3,1961,Downtown,Poor,Yes,202566,65
131,1209,2,2,3,1956,Suburban,Fair,No,650710,70
132,4913,4,2,3,1928,Urban,Poor,No,958521,98
133,4248,4,4,2,2013,Rural,Excellent,No,53212,13
134,1163,1,3,1,1977,Suburban,Excellent,No,282131,49
135,2498,5,3,3,1924,Rural,Good,Yes,526657,102
136,3945,4,1,2,1914,Urban,Excellent,No,661882,112
137,4243,1,4,3,1905,Downtown,Fair,No,182152,121
138,1995,4,1,3,2019,Urban,Poor,No,344819,7
