feature,coefficient,abs_coefficient
Condition_Fair,24083.307846491414,24083.307846491414
Floors,23727.983633428303,23727.983633428303
Condition_Good,-12941.044835236007,12941.044835236007
Location_Urban,-12718.918911717177,12718.918911717177
Location_Suburban,11511.98981488289,11511.98981488289
Bathrooms,-9662.248234351975,9662.248234351975
Condition_Poor,4073.2689303732004,4073.2689303732004
Garage_Yes,2373.5305789905683,2373.5305789905683
Location_Rural,1317.5420197901697,1317.5420197901697
HouseAge,-117.61388472794602,117.61388472794602
Bedrooms,76.78482652979324,76.78482652979324
Area,-0.5757538426731408,0.5757538426731408
